Activity ID,Activity Name,Predecessor Activities
a,Start,
b,Excavate and pour footers,a
c,Pour concrete foundation,b
d,Erect wooden frame including rough roof,c
e,Lay brickwork,d
f,Install basement drains and plumbing,c
g,Pour basement floor,f
h,Install rough plumbing,f
i,Install rough wiring,d
j,Install heating and ventilating,"d,g"
k,Fasten plaster board and plaster (including drying),"i,j,h"
l,Lay finish flooring,k
m,Install kitchen fixtures,l
n,Install finish plumbing,l
o,Finish carpentry,l
p,Finish roofing and flashing,e
q,Fasten gutters and downspouts,p
r,Lay storm drains for rain water,c
s,Sand and varnish flooring,"o,f"
t,Paint,"m,n"
u,Finish electrical work,a
v,Finish grading,"q,r"
w,Pour walks and complete landscaping,v
x,Finish,"s,u,w"
